id,Name,Address,Location,Postal_code,Starred
3660,"THE INTERNATIONAL CULINARY INSTITUTE"," 462BROADWAY",MANHATTAN,10013,FALSE
3661,"MARK FORGIONE"," 134READE STREET",MANHATTAN,10013,FALSE
3662,"POCHA 32"," 15WEST 32 STREET",MANHATTAN,10001,FALSE
3663,"GRAMERCY STAR CAFE"," 23LEXINGTON AVENUE",MANHATTAN,10010,FALSE
3664,"BLUE HILL RESTAURANT"," 75WASHINGTON PLACE",MANHATTAN,10011,FALSE
3665,"GREEN SYMPHONY"," 255WEST   43 STREET",MANHATTAN,10036,FALSE
3666,"LA MIA PIZZA"," 14881 AVENUE",MANHATTAN,10075,FALSE
3667,"BAR BOLONAT"," 611HUDSON ST",MANHATTAN,10014,FALSE
3668,"STAR ON 18TH DINER CAFE"," 12810 AVENUE",MANHATTAN,10011,FALSE
3669,PAESANO'S," 136MULBERRY STREET",MANHATTAN,10013,FALSE
3670,STARBUCKS," 115BROADWAY",MANHATTAN,10006,FALSE
3671,JOE," 187COLUMBUS AVE",MANHATTAN,10023,FALSE
3672,"LE CAFE COFFEE"," 1454TH AVE",MANHATTAN,10003,FALSE
3673,"VBAR SEAPORT"," 212FRONT ST",MANHATTAN,10038,FALSE
3674,"HUDSON'S MARKET @ SHERATON NEW YORK"," 8117 AVENUE",MANHATTAN,10019,FALSE
3675,"HARLEM FOOD COURT"," 66W 116TH ST",MANHATTAN,10026,FALSE
3676,"JAKE'S SALOON"," 2029 AVENUE",MANHATTAN,10011,FALSE
3677,"A1 OCHA SUSHI"," 350W 46TH ST",MANHATTAN,10036,FALSE
3678,"GRAND SICHUAN"," 157 AVENUE SOUTH",MANHATTAN,10014,FALSE
3679,PERIYALI," 35WEST   20 STREET",MANHATTAN,10011,FALSE
3680,"PEE DEE"," 50WEST  125 STREET",MANHATTAN,10027,FALSE
3681,"HARVARD CLUB"," 27WEST   44 STREET",MANHATTAN,10036,FALSE
3682,"HANAMIZUKI CAFE"," 143W 29TH ST",MANHATTAN,10001,FALSE
3683,"CORSO COFFEE"," 235WEST   46 STREET",MANHATTAN,10036,FALSE
3684,"CAFE EVERGREEN"," 13671 AVENUE",MANHATTAN,10021,FALSE
3685,"RABBIT CLUB"," 124MACDOUGAL STREET",MANHATTAN,10012,FALSE
3686,TABERNA," 97SAINT MARKS PL",MANHATTAN,10009,FALSE
3687,SERENA'S," 12682ND AVE",MANHATTAN,10065,FALSE
3688,"COZY CORNER/CHICKEN LOVER"," 11612 AVENUE",MANHATTAN,10065,FALSE
3689,RACINES," 94CHAMBERS ST",MANHATTAN,10007,FALSE
3690,"IL BASTARDO"," 1917 AVENUE",MANHATTAN,10011,FALSE
3691,"BOBBY VAN'S GRILL"," 135WEST   50 STREET",MANHATTAN,10020,FALSE
3692,"ACAPPELLA RESTAURANT"," 1HUDSON STREET",MANHATTAN,10013,FALSE
3693,"CHELSEA DELI & PIZZA"," 30110 AVENUE",MANHATTAN,10001,FALSE
3694,"MING'S RESTAURANT"," 4134159 AVENUE",MANHATTAN,10001,FALSE
3695,AMBROSIA," 8WEST   45 STREET",MANHATTAN,10036,FALSE
3696,"SUSHIYA JAPANESE RESTAURANT"," 28WEST   56 STREET",MANHATTAN,10019,FALSE
3697,"LATINO'S BAR & GRILL RESTAURANT"," 3864BROADWAY",MANHATTAN,10032,FALSE
3698,"HAN DYNASTY"," 215W 85TH ST",MANHATTAN,10024,FALSE
3699,"HUMMUS & PITA CO"," 585AVE OF THE AMER",MANHATTAN,10011,FALSE
3700,"CANDLE 79 RESTAURANT"," 154EAST   79 STREET",MANHATTAN,10075,FALSE
3701,"JIMBO'S HAMBURGER PALACE"," 117DYCKMAN ST",MANHATTAN,10040,FALSE
3702,"AMY'S BREAD"," 250BLEECKER STREET",MANHATTAN,10014,FALSE
3703,"KOPI KOPI"," 68WEST    3 STREET",MANHATTAN,10012,FALSE
3704,"VOL DE NUIT"," 148WEST    4 STREET",MANHATTAN,10012,FALSE
3705,"BRISAS DEL MAR SEAFOOD MARKET"," 1785-1787LEXINGTON AVENUE",MANHATTAN,10029,FALSE
3706,"CAFE METRO"," 5307 AVENUE",MANHATTAN,10018,FALSE
3707,"CITY CAFE"," 35WEST   43 STREET",MANHATTAN,10036,FALSE
3708,"JOY CURRY & TANDOOR"," 148EAST   46 STREET",MANHATTAN,10017,FALSE
3709,"SWEET BUTTONS"," 7884RIVINGTON STREET",MANHATTAN,10002,FALSE
3710,"MI PASO CENTRO AMERICANO RESTAURANT"," 4129BROADWAY",MANHATTAN,10033,FALSE
3711,"NEW RONG HANG RESTAURANT"," 38ELDRIDGE STREET",MANHATTAN,10002,FALSE
3712,"FUSION GRILLS"," 8753 AVENUE",MANHATTAN,10022,FALSE
3713,"ABAYA THAI CUISINE"," 318WEST   36 STREET",MANHATTAN,10018,FALSE
3714,"CARMA ASIAN TAPAS"," 38CARMINE ST",MANHATTAN,10014,FALSE
3715,COLBEH," 32WEST 39 STREET",MANHATTAN,10018,FALSE
3716,"CHARLIE'S PLACE & SUSHI"," 1960MADISON AVE",MANHATTAN,10035,FALSE
3717,"THE STAND"," 2393 AVENUE",MANHATTAN,10003,FALSE
3718,ROCCOS," 1627TH AVE",MANHATTAN,10011,FALSE
3719,"Grand Banks"," Park N. Moore St. at West S",MANHATTAN,10013,FALSE
3720,"FRESH & CO"," 1260LEXINGTON AVE",MANHATTAN,10028,FALSE
3721,"BENITO ONE"," 174MULBERRY STREET",MANHATTAN,10013,FALSE
3722,TFOR," 14BEDFORD STREET",MANHATTAN,10014,FALSE
3723,"CAFE ZAIYA"," 69COOPER SQUARE",MANHATTAN,10003,FALSE
3724,"BOOM BOOM ROOM, LE BAIN, THE STANDARD"," 848WASHINGTON STREET",MANHATTAN,10014,FALSE
3725,SNAFU," 127EAST   47 STREET",MANHATTAN,10017,FALSE
3726,"DEATH AVE"," 31510 AVENUE",MANHATTAN,10001,FALSE
3727,"UMI SUSHI JAPANESE CUISINE"," 118EAST   31 STREET",MANHATTAN,10016,FALSE
3728,"EAST SIDE BAGEL CAFE"," 14961 AVENUE",MANHATTAN,10075,FALSE
3729,"DUNKIN' DONUTS"," 206W 104TH ST",MANHATTAN,10025,FALSE
3730,"SEATTLE CAFE"," 1411MADISON AVE",MANHATTAN,10029,FALSE
3731,SUBWAY," 11BROADWAY",MANHATTAN,10004,FALSE
3732,"STONE STREET TAVERN (@ 52 STONE ST)"," 85PEARL STREET",MANHATTAN,10004,FALSE
3733,"THE BEST PIZZA"," 7489 AVENUE",MANHATTAN,10019,FALSE
3734,"RISTORANTE GRIFONE"," 244EAST 46 STREET",MANHATTAN,10017,FALSE
3735,PULQUERIA," 11DOYERS STREET",MANHATTAN,10013,FALSE
3736,"ASURA ASIAN BISTRO"," 235WEST 35TH STREET",MANHATTAN,10001,FALSE
3737,"WALLSE RESTARUANT"," 342344WEST 11 STREET",MANHATTAN,10014,FALSE
3738,"PARIS BAGUETTE"," 591LEXINGTON AVE",MANHATTAN,10022,FALSE
3739,"EMPIRE PIZZA"," 3145 AVENUE",MANHATTAN,10001,FALSE
3740,SUNITA," 106NORFOLK STREET",MANHATTAN,10002,FALSE
3741,"BREAD & BUTTER"," 14E 44TH ST",MANHATTAN,10017,FALSE
3742,"DANIELLO'S PIZZERIA"," 70WEST   95 STREET",MANHATTAN,10025,FALSE
3743,"BONJOUR CREPES & WINE"," 1442LEXINGTON AVE",MANHATTAN,10128,FALSE
3744,HENRY'S," 2745BROADWAY",MANHATTAN,10025,FALSE
3745,"CAFE 28"," 2455 AVENUE",MANHATTAN,10016,FALSE
3746,"ONE AND ONE"," 121 AVENUE",MANHATTAN,10009,FALSE
3747,"EXCELLENT DUMPLING HOUSE"," 111LAFAYETTE ST",MANHATTAN,10013,FALSE
3748,"ASIAM THAI CUISINE"," 259FIRST AVENUE",MANHATTAN,10003,FALSE
3749,"THE 13TH STEP"," 1492 AVENUE",MANHATTAN,10003,FALSE
3750,"HOUNDSTOOTH PUB"," 5208 AVENUE",MANHATTAN,10018,FALSE
3751,"METROPOLITAN CLUB"," 1EAST   60 STREET",MANHATTAN,10022,FALSE
3752,"HALE & HEARTY SOUP"," 30ROCKEFELLER PLAZA",MANHATTAN,10112,FALSE
3753,BLOSSOM," 1879 AVENUE",MANHATTAN,10011,FALSE
3754,"YUMMY KITCHEN/CHEUNG WONG KITCHEN"," 38ALLEN STREET",MANHATTAN,10002,FALSE
3755,"BARKING DOG RESTAURANT"," 1453YORK AVENUE",MANHATTAN,10075,FALSE
3756,TABOON," 77310TH AVENUE",MANHATTAN,10019,FALSE
3757,"NEAPOLITAN EXPRESS"," 232E 111TH ST",MANHATTAN,10029,FALSE
3758,"22 THAI CUISINE"," 22MAIDEN LANE",MANHATTAN,10038,FALSE
3759,"THE KATI ROLL COMPANY"," 49WEST   39 STREET",MANHATTAN,10018,FALSE
3760,"BINGO DELI"," 77PEARL STREET",MANHATTAN,10004,FALSE
3761,"PEARL STREET DINER"," 212PEARL STREET",MANHATTAN,10038,FALSE
3762,"JACK'S COFFEE"," 138WEST 10 STREET",MANHATTAN,10014,FALSE
3763,"RE SETTE"," 7WEST   45 STREET",MANHATTAN,10036,FALSE
3764,WAGA," 22ST MARKS PLACE",MANHATTAN,10003,FALSE
3765,"ASUKA SUSHI"," 300W 23RD ST",MANHATTAN,10011,FALSE
3766,"THE CAPITAL GRILLE"," 120WEST   51 STREET",MANHATTAN,10020,FALSE
3767,"GRAND SICHUAN"," 2299TH AVE",MANHATTAN,10001,FALSE
3768,"HESTIA MARKETPLACE"," 513FASHION AVE",MANHATTAN,10018,FALSE
3769,"CROCODILE LOUNGE"," 325EAST   14 STREET",MANHATTAN,10003,FALSE
3770,LUPULO," 8356TH AVE",MANHATTAN,10001,FALSE
3771,KOBEYAKI," 2937 AVENUE",MANHATTAN,10001,FALSE
3772,"THE RAIL LINE DINER"," 400WEST   23 STREET",MANHATTAN,10011,FALSE
3773,"CROWN FRIED CHICKEN"," 117AVENUE D",MANHATTAN,10009,FALSE
3774,"TODD ENGLISH FOOD HALL"," 7685TH AVE",MANHATTAN,10019,FALSE
3775,"TOM'S DELICIOUS PIZZA"," 3161BROADWAY",MANHATTAN,10027,FALSE
3776,STARBUCKS," 977AVENUE OF THE AMERICAS",MANHATTAN,10018,FALSE
3777,"LUGO CAFFE"," 1PENN PLAZA",MANHATTAN,10119,FALSE
3778,"SHEEZAN RESTAURANT"," 183CHURCH STREET",MANHATTAN,10007,FALSE
3779,"BURGER KING"," 16BEAVER STREET",MANHATTAN,10004,FALSE
3780,"MANHATTAN CENTER"," 311WEST   34 STREET",MANHATTAN,10001,FALSE
3781,"CAFE ESPANOL"," 172BLEECKER STREET",MANHATTAN,10012,FALSE
3782,"RESTAURANT ANNISA"," 13BARROW STREET",MANHATTAN,10014,FALSE
3783,"LA MAISON DU CROQUE MONSIEUR"," 17EAST   13 STREET",MANHATTAN,10003,FALSE
3784,"DUNKIN' DONUTS"," 4030BROADWAY",MANHATTAN,10032,FALSE
3785,"NEWS BAR"," 107UNIVERSITY PLACE",MANHATTAN,10003,FALSE
3786,MCDONALD'S," 401PARK AVENUE SOUTH",MANHATTAN,10016,FALSE
3787,"FOOD MART DELI"," 1321YORK AVENUE",MANHATTAN,10021,FALSE
3788,"CAFE TODAY"," 575LEXINGTON AVENUE",MANHATTAN,10022,FALSE
3789,"AMERICAN LEGION VETERANS POST"," 248WEST  132 STREET",MANHATTAN,10027,FALSE
3790,"KODAMA SUSHI"," 301W 45TH ST",MANHATTAN,10036,FALSE
3791,TRE," 173LUDLOW STREET",MANHATTAN,10002,FALSE
3792,"PJ MORANS"," 3EAST   48 STREET",MANHATTAN,10017,FALSE
3793,"LA ISLA CAFE RESTAURANT"," 212DELANCEY STREET",MANHATTAN,10002,FALSE
3794,BEA," 403W 43RD STREET",MANHATTAN,10036,FALSE
3795,MARU," 11W 32ND ST",MANHATTAN,10001,FALSE
3796,MAYA," 11911 AVENUE",MANHATTAN,10065,FALSE
3797,"CONCORD GARDEN RESTAURANT"," 990AMSTERDAM AVENUE",MANHATTAN,10025,FALSE
3798,"THAI SON"," 89BAXTER STREET",MANHATTAN,10013,FALSE
3799,"HOLLYWOOD DINER"," 5746 AVENUE",MANHATTAN,10011,FALSE
3800,"SPIN NEW YORK"," 304PARK AVENUE SOUTH",MANHATTAN,10010,FALSE
3801,"KORONET PIZZA"," 2848BROADWAY",MANHATTAN,10025,FALSE
3802,"HERB N' KITCHEN MARKET"," 304EAST   42 STREET",MANHATTAN,10017,FALSE
3803,"GOOD ENOUGH TO EAT (A.G. BISTRO)"," 520COLUMBUS AVENUE",MANHATTAN,10024,FALSE
3804,"CHIPOTLE MEXICAN GRILL"," 2843BROADWAY",MANHATTAN,10025,FALSE
3805,"ROXY DINER"," 6948TH AVE",MANHATTAN,10036,FALSE
3806,"KING FOOD"," 489AMSTERDAM AVENUE",MANHATTAN,10024,FALSE
3807,"CHARLEY'S GRILLED SUBS"," 9015QUEENS BLVD",QUEENS,11373,FALSE
3808,"UPTOWN JUICE & VEG"," 52E 125TH ST",MANHATTAN,10035,FALSE
3809,STARBUCKS," 8258 AVENUE",MANHATTAN,10019,FALSE
3810,"LORENZO & MARIA'S"," 1418THIRD AVENUE",MANHATTAN,10028,FALSE
3811,"APERITIVO PIZZA BAR"," 7803 AVENUE",MANHATTAN,10017,FALSE
3812,"CONGEE RESTAURANT"," 207BOWERY",MANHATTAN,10002,FALSE
3813,"THE WATERING HOLE"," 106EAST   19 STREET",MANHATTAN,10003,FALSE
3814,"THE MEZZ (GOOGLE)"," 759th AVE",MANHATTAN,10011,FALSE
3815,"HARLEM BAR-B-Q/NABE HARLEM"," 23678 AVENUE",MANHATTAN,10027,FALSE
3816,"PETROSSIAN BOUTIQUE"," 9117 AVENUE",MANHATTAN,10019,FALSE
3817,ROCKWELL'S," 105BROAD ST",MANHATTAN,10004,FALSE
3818,"DEL FRISCO'S GRILLE"," 60ROCKEFELLER PLAZA",MANHATTAN,10020,FALSE
3819,GIRELLO," 16NORTH MOORE STREET",MANHATTAN,10013,FALSE
3820,"CORAL DINER"," 3801BROADWAY",MANHATTAN,10032,FALSE
3821,"FORLINIS RESTAURANT"," 93BAXTER STREET",MANHATTAN,10013,FALSE
3822,"RED BAMBOO"," 140WEST    4 STREET",MANHATTAN,10012,FALSE
3823,"BURGER KING"," 146DELANCEY ST",MANHATTAN,10002,FALSE
3824,"EUROPA CAFE"," 599LEXINGTON AVENUE",MANHATTAN,10022,FALSE
3825,"NAPLES 45 RESTAURANT"," 200PARK AVENUE",MANHATTAN,10003,FALSE
3826,"BRASS MONKEY"," 55LITTLE WEST 12 STREET",MANHATTAN,10014,FALSE
3827,"CHARLOTTE RESTAURANT BAR & LOUNGE"," 145WEST 44 STREET",MANHATTAN,10036,FALSE
3828,"LUCY'S CANTINA ROYALE"," 1PENN PLAZA",MANHATTAN,10119,FALSE
3829,"CHARLEYS PHILLY STEAK"," 200BAYCHESTER AVE",BRONX,10475,FALSE
3830,PASCALOU," 1308MADISON AVENUE",MANHATTAN,10128,FALSE
3831,"MINUS5 ICE BAR"," 1335AVENUE OF AMERICAS",MANHATTAN,10019,FALSE
3832,"DOC WATSONS"," 14902 AVENUE",MANHATTAN,10075,FALSE
3833,"ABAYA THAI CUISINE"," 318WEST   36 STREET",MANHATTAN,10018,FALSE
3834,"BAKER STREET PUB"," 11521 AVENUE",MANHATTAN,10065,FALSE
3835,"777 THEATER BAR"," 7778TH AVE",MANHATTAN,10036,FALSE
3836,"MAD HATTER SALOON"," 3603 AVENUE",MANHATTAN,10016,FALSE
3837,"CHA CHA'S BACKYARD GARDEN BAR & CAFE"," 113MULBERRY STREET",MANHATTAN,10013,FALSE
3838,"LIBERTY DELI"," 22E 49TH ST",MANHATTAN,10017,FALSE
3839,"ZORA'S CAFE"," 7129TH AVE",MANHATTAN,10019,FALSE
3840,"MING'S DELIGHT"," 5943 AVENUE",MANHATTAN,10016,FALSE
3841,"NOODLE Q"," 2E BROADWAY",MANHATTAN,10038,FALSE
3842,"CRC CAFE"," 1248YORK AVENUE",MANHATTAN,10065,FALSE
3843,"SUSHIYA JAPANESE RESTAURANT"," 28WEST   56 STREET",MANHATTAN,10019,FALSE
3844,"HAN DYNASTY"," 903RD AVE",MANHATTAN,10003,FALSE
3845,"DUNKIN' DONUTS, BASKIN ROBBINS"," 12251 AVENUE",MANHATTAN,10065,FALSE
3846,"CAFE TARANTIN"," 302WEST   38 STREET",MANHATTAN,10018,FALSE
3847,"ANEJO TRIBECA"," 31WALKER ST",MANHATTAN,10013,FALSE
3848,"SILVER PALACE"," 3438BROADWAY",MANHATTAN,10031,FALSE
3849,CUBBYHOLE," 281WEST   12 STREET",MANHATTAN,10014,FALSE
3850,"THE BRESLIN LOBBY BAR & ROOM SERVICE KITCHEN"," 16WEST   29 STREET",MANHATTAN,10001,FALSE
3851,"8TH STREET WINECELLAR"," 28W 8TH STREET",MANHATTAN,10011,FALSE
3852,"BURRITO LOCO"," 166WEST    4 STREET",MANHATTAN,10014,FALSE
3853,STARBUCKS," 125 - 135EAST  57 STREET",MANHATTAN,10022,FALSE
3854,"FRANKIES DOGS ON THE GO"," 23VANDERBILT AVENUE",MANHATTAN,10017,FALSE
3855,LIBERTADOR," 17252 AVENUE",MANHATTAN,10128,FALSE
3856,"MAMA MIA 44 SW"," 6219 AVENUE",MANHATTAN,10036,FALSE
3857,EATS," 1055LEXINGTON AVENUE",MANHATTAN,10021,FALSE
3858,"THE little BEET TABLE"," 333PARK AVENUE SOUTH",MANHATTAN,10010,FALSE
3859,"THE BEST PIZZA"," 7489 AVENUE",MANHATTAN,10019,FALSE
3860,"CAVALLO'S PIZZERIA"," 3247 AVENUE",MANHATTAN,10001,FALSE
3861,"NEW YORK UNIVERSITY - LAW SCHOOL"," 110WEST THIRD STREET",MANHATTAN,10012,FALSE
3862,"THE RIVER CLUB"," 447EAST   52 STREET",MANHATTAN,10022,FALSE
3863,"GROTTA AZZURRA"," 177MULBERRY STREET",MANHATTAN,10013,FALSE
3864,"SOCARRAT EAST"," 9532 AVENUE",MANHATTAN,10022,FALSE
3865,"THE RED CAT"," 22710 AVENUE",MANHATTAN,10011,FALSE
3866,ESSEN," 515MADISON AVENUE",MANHATTAN,10022,FALSE
3867,"THE BREAD FACTORY"," 9358 AVENUE",MANHATTAN,10019,FALSE
3868,"LA TERRAZA RESTAURANT"," 3881BROADWAY",MANHATTAN,10032,FALSE
3869,"BM DELI & GROCERY"," 19163 AVENUE",MANHATTAN,10029,FALSE
3870,"MERCI MARKET"," 350WEST   42 STREET",MANHATTAN,10036,FALSE
3871,"TAO HONG BAKERY"," 79CHRYSTIE STREET",MANHATTAN,10002,FALSE
3872,VAPIANO," 113UNIVERSITY PLACE",MANHATTAN,10003,FALSE
3873,"THE ALHAMBRA BALL ROOM"," 2116ADAM CLAYTON POWELL BOULEVARD",MANHATTAN,10027,FALSE
3874,"LIONS HEAD TAVERN"," 995AMSTERDAM AVENUE",MANHATTAN,10025,FALSE
3875,JIMMY," 27GRAND ST",MANHATTAN,10013,FALSE
3876,"696 GOURMET DELI"," 6963 AVENUE",MANHATTAN,10017,FALSE
3877,SCHNIPPER'S," 23EAST   23 STREET",MANHATTAN,10010,FALSE
3878,"HANGAR BAR"," 115CHRISTOPHER STREET",MANHATTAN,10014,FALSE
3879,"JING FONG RESTAURANT"," 20ELIZABETH STREET",MANHATTAN,10013,FALSE
3880,"INTERCONTINENTAL NEW YORK TIMES SQUARE/TODD ENGLISH THE STINGER"," 306WEST   44 STREET",MANHATTAN,10036,FALSE
3881,"ONE STAR"," 147W 24TH ST",MANHATTAN,10011,FALSE
3882,"THE NATIONAL"," 125EAST   50 STREET",MANHATTAN,10022,FALSE
3883,GNOCCO," 337EAST   10 STREET",MANHATTAN,10009,FALSE
3884,RESERVIOR," 70UNIVERSITY PL",MANHATTAN,10003,FALSE
3885,"NOURISH KITCHEN + TABLE"," 95GREENWICH AVENUE",MANHATTAN,10014,FALSE
3886,"GRAND BO KY RESTAURANT"," 214216GRAND STREET",MANHATTAN,10013,FALSE
3887,"JIN FENG RESTAURANT"," 2-6ELDRIDGE STREET",MANHATTAN,10002,FALSE
3888,"BIER INTERNATIONAL"," 20998 AVENUE",MANHATTAN,10026,FALSE
3889,"THE RAIL LINE DINER"," 400WEST   23 STREET",MANHATTAN,10011,FALSE
3890,"BELLA NAPOLI"," 130MADISON AVENUE",MANHATTAN,10016,FALSE
3891,"PLAZA DELI"," 127JOHN STREET",MANHATTAN,10038,FALSE
3892,"SWEET LIFE CAFE"," 147CHRISTOPHER STREET",MANHATTAN,10014,FALSE
3893,"DAVID BURKE KITCHEN"," 27GRAND ST",MANHATTAN,10013,FALSE
3894,THALIA," 8288 AVENUE",MANHATTAN,10019,FALSE
3895,PATHOS," 9321ST AVE",MANHATTAN,10022,FALSE
3896,SPICE," 39E 13TH ST",MANHATTAN,10003,FALSE
3897,Lenny's," 405LEXINGTON AVENUE",MANHATTAN,10174,FALSE
3898,"FRIENDLY GOURMET PIZZA"," 59NASSAU STREET",MANHATTAN,10038,FALSE
3899,"LUCKY'S FAMOUS BURGERS"," 147EAST HOUSTON STREET",MANHATTAN,10002,FALSE
3900,"BRICCO RESTAURANT"," 304WEST   56 STREET",MANHATTAN,10019,FALSE
3901,"THE CITY BAKERY"," 3WEST   18 STREET",MANHATTAN,10011,FALSE
3902,"SOHO TIFFIN JUNCTION"," 42E 8TH ST",MANHATTAN,10003,FALSE
3903,"LITTLE ITALY PIZZA"," 11PARK PLACE",MANHATTAN,10007,FALSE
3904,"TRATTORIA IL MULINO"," 36EAST   20 STREET",MANHATTAN,10003,FALSE
3905,"CITY CATERING & CAFE"," 333E 23RD ST",MANHATTAN,10010,FALSE
3906,"CHASE EDR"," 270PARK AVENUE",MANHATTAN,10017,FALSE
3907,"CHE BELLA PIZZA"," 1215AMNSTERDAM AVENUE",MANHATTAN,10027,FALSE
3908,"HIDE CHAN RAMEN"," 248EAST   52 STREET",MANHATTAN,10022,FALSE
3909,MCDONALD'S," 2726BROADWAY",MANHATTAN,10025,FALSE
3910,"CHARLIE'S PLACE & SUSHI"," 1960MADISON AVE",MANHATTAN,10035,FALSE
3911,"SUSHI CHOSI"," 77IRVING PLACE",MANHATTAN,10003,FALSE
3912,"CASA BELLA"," 127MULBERRY STREET",MANHATTAN,10013,FALSE
3913,"AFGHAN KEBAB HOUSE #1"," 7649 AVENUE",MANHATTAN,10019,FALSE
3914,"BAR VIRAGE"," 1182 AVENUE",MANHATTAN,10003,FALSE
3915,"EUROPA CAFE"," 11PENN PLAZA",MANHATTAN,10001,FALSE
3916,"BRUSHSTROKE (30 HUDSON ST)"," 162DUANE STREET",MANHATTAN,10013,FALSE
3917,"CAFE OLYMPIA"," 8332nd Avenue",MANHATTAN,10017,FALSE
3918,PICK-A-BAGEL," 251MURRAY STREET",MANHATTAN,10282,FALSE
3919,"FUJI JAPANESE RESTAURANT"," 238WEST   56 STREET",MANHATTAN,10019,FALSE
3920,"BOOM BOOM ROOM, LE BAIN, THE STANDARD"," 848WASHINGTON STREET",MANHATTAN,10014,FALSE
3921,"ITALIANISSIMO RISTORANTE"," 307EAST   84 STREET",MANHATTAN,10028,FALSE
3922,"THE KITCHEN SINK"," 882 AVENUE",MANHATTAN,10003,FALSE
3923,"VOSGES HAUT-CHOCOLAT"," 126132SPRING STREET",MANHATTAN,10012,FALSE
3924,"LE MONDE"," 2883BROADWAY",MANHATTAN,10025,FALSE
3925,SESSANTA," 60THOMPSON ST",MANHATTAN,10012,FALSE
3926,"PUNTO DE SABOR"," 1464ST NICHOLAS AVENUE",MANHATTAN,10033,FALSE
3927,AMIGOS," 2888BROADWAY",MANHATTAN,10025,FALSE
3928,"BOBBY VAN'S STEAKHOUSE"," 131EAST   54 STREET",MANHATTAN,10022,FALSE
3929,"CHIPOTLE MEXICAN GRILL"," 320PARK AVENUE",MANHATTAN,10022,FALSE
3930,"BLAGGARD'S PUB"," 8WEST   38 STREET",MANHATTAN,10018,FALSE
3931,"WICKED WILLY'S"," 149BLEECKER STREET",MANHATTAN,10012,FALSE
3932,SUBWAY," 3171 AVENUE",MANHATTAN,10003,FALSE
3933,"JOSIE'S BAR"," 520EAST    6 STREET",MANHATTAN,10009,FALSE
3934,MCDONALD'S," 6888 AVENUE",MANHATTAN,10036,FALSE
3935,"CORRADO BREAD AND PASTRY"," 960LEXINGTON AVENUE",MANHATTAN,10021,FALSE
3936,MCDONALD'S," 262CANAL STREET",MANHATTAN,10013,FALSE
3937,"THE GREAT AMERICAN HEALTH BAR"," 35WEST   57 STREET",MANHATTAN,10019,FALSE
3938,"BATEAUX NEW YORK"," 62WEST 23 STREET - CHELSEA PIER",MANHATTAN,10011,FALSE
3939,"MORRIS HEIGHTS PIZZA"," 1987UNIVERSITY AVE",BRONX,10453,FALSE
3940,"THE GREY DOG'S COFFEE"," 90UNIVERSITY PLACE",MANHATTAN,10003,FALSE
3941,"QUEEN SHEEBA RESTAURANT"," 317WEST 141 STREET",MANHATTAN,10030,FALSE
3942,"NEW YORK BAGELS & DELI"," 587FIRST AVENUE",MANHATTAN,10016,FALSE
3943,"PORTO BELLO RESTAURANT"," 208THOMPSON STREET",MANHATTAN,10012,FALSE
3944,"TERRACE CLUB"," 25WEST   51 STREET",MANHATTAN,10019,FALSE
3945,SOJOURN," 242-244EAST   79 STREET",MANHATTAN,10075,FALSE
3946,JAVELINA," 119E 18TH ST",MANHATTAN,10003,FALSE
3947,"PIADINA RESTAURANT"," 57WEST   10 STREET",MANHATTAN,10011,FALSE
3948,"GENA'S GRILL"," 2101 AVENUE",MANHATTAN,10009,FALSE
3949,RAFFLES," 511LEXINGTON AVENUE",MANHATTAN,10017,FALSE
3950,"PICANTE MEXICAN BAR AND GRILL RESTAURANT"," 3424BROADWAY",MANHATTAN,10031,FALSE
3951,"TU-LU'S GLUTEN-FREE BAKERY"," 338EAST   11 STREET",MANHATTAN,10003,FALSE
3952,"THE MONKEY ROOM"," 589FORT WASHINGTON AVENUE",MANHATTAN,10033,FALSE
3953,"CAROL'S BUN"," 139EAST BROADWAY",MANHATTAN,10002,FALSE
3954,"HEY HEY CANTEEN"," 4004TH AVE",BROOKLYN,11215,FALSE
3955,"CHICKEN/FRIES CONCESSION"," 4PENN PLZ",MANHATTAN,10121,FALSE
3956,"CORADO BREAD & PASTRY"," 1361LEXINGTON AVE",MANHATTAN,10128,FALSE
3957,"IL GNOCCHI RESTAURANT"," 118EAST  116 STREET",MANHATTAN,10029,FALSE
3958,"JOSHUA TREE"," 5133 AVENUE",MANHATTAN,10016,FALSE
3959,"NEW YORK COMEDY CLUB"," 241E 24TH ST",MANHATTAN,10010,FALSE
3960,"MARKET CRATES"," 26W 33RD ST",MANHATTAN,10001,FALSE
3961,TANAKA," 222EAST   51 STREET",MANHATTAN,10022,FALSE
3962,"KATSUHAMA 47"," 11EAST 47 STREET",MANHATTAN,10017,FALSE
3963,"MARITZA CAKE"," 2153AMSTERDAM AVENUE",MANHATTAN,10032,FALSE
3964,"KATSUHAMA RESTAURANT"," 4345WEST 55 STREET",MANHATTAN,10019,FALSE
3965,"RI WONG HANDMADE NOODLE"," 144AE BROADWAY",MANHATTAN,10002,FALSE
3966,"BAGEL BOB'S"," 51UNIVERSITY PLACE",MANHATTAN,10003,FALSE
3967,"OPEN KITCHEN"," 33E 33RD ST",MANHATTAN,10016,FALSE
3968,"FOOD MART DELI"," 1321YORK AVENUE",MANHATTAN,10021,FALSE
3969,"CALICO JACKS"," 8002ND AVE",MANHATTAN,10017,FALSE
3970,"E'S BAR"," 511AMSTERDAM AVE",MANHATTAN,10024,FALSE
