id,Name,Address,Location,Postal_code,Starred
66,"Dag Hammarskjold Plaza Cafe","342 East 47th Street","New York",NULL,FALSE
67,"Hunter's Point South Snack Bar","Hunter's Point South Park","New York",NULL,FALSE
68,"Shake Shack","Southeast corner of Madison Square Park-near Madison Avenue and East 23rd Street","New York",NULL,FALSE
69,"Pelham Bay Park Food Cart","Outside playground #1, at Middleton Road","New York",NULL,FALSE
70,"Ellington In The Park","105th Street and Riverside Park","New York",NULL,FALSE
71,"Van Cortlandt Park Mobile Food Truck","Mosholu Parkway South & North Between Van Cortlandt","New York",NULL,FALSE
72,"Pier I Cafe","West 70 Street near Pier I","New York",NULL,FALSE
73,"Windmuller Park Food Cart","52nd Street and 39th Road","New York",NULL,FALSE
74,"Rockaway Beach Snack Bars","Beach 86th Street, Beach 97th Street, and Beach 106th Street","New York",NULL,FALSE
75,Pushcart,"Near northern intersection of Avenues of Progress & Commerce","New York",NULL,FALSE
76,"Astoria Pool Snack Bar","Astoria Pool","New York",NULL,FALSE
77,"Tweety's Mobile Food Truck","E 172 St. Bw Morris and Teller Aves.","New York",NULL,FALSE
78,"Ederle Terrace Snack Bar","Ederle Terrace, 61-30 Van Wyck Expressway, overlooking Meadow Lake","New York",NULL,FALSE
79,"PS 100 Playground Trucks","Theriot, Taylor and Story Aves.","New York",NULL,FALSE
80,"Central Park Food Cart","West Side of WD at W 62nd","New York",NULL,FALSE
81,"Bayview Playground Mobile Trucks","Bayview Playground","New York",NULL,FALSE
82,"Hugh Grant Circle Food Cart","East 177th Street, Wstchester Avenue, Virginia Avenue","New York",NULL,FALSE
83,"Fort Greene Park Mobile Food Truck","Fort Green Park","New York",NULL,FALSE
84,"Olmsted Cafeteria","Olmsted Center","New York",NULL,FALSE
85,"NY Dosas","North side of Washington Square at Sullivan Street","New York",NULL,FALSE
86,"Plumb Beach Mobile Food Truck","Plumb Beach Parking Lot","New York",NULL,FALSE
87,"Rodman's Neck Snack Bar","The NYC Police Academy, Rodman","New York",NULL,FALSE
88,"Bensonhurst Park Mobile Food Truck","End of Bay Parkway, near shopping center","New York",NULL,FALSE
89,"Orchard Beach Snack Bar","3 Locations along the beach","New York",NULL,FALSE
90,"Asser Levy Park Mobile Food Truck","Asser Levy Park","New York",NULL,FALSE
91,"Wafels & Dinges","West of the Scholar's Gate entrance at 60th Street","New York",NULL,FALSE
92,"Dunkin' Donuts","1320 Hutchinson River Parkway","New York",NULL,FALSE
93,"Shore Road Park Mobile Food Trucks","Bay 8th Street","New York",NULL,FALSE
94,Wendy's,"19 West 170th Street","New York",NULL,FALSE
95,"Jackie Robinson Park Mobile Food Truck","Jackie Robinson Park","New York",NULL,FALSE
96,"NANDITA, INC.","WEST SIDE OF EAST DRIVE AND 63RD ST.","New York",NULL,FALSE
97,"PS 199 Playground Mobile Food Truck","PS 199 Playground","New York",NULL,FALSE
98,"Harlem Meer Snack Bar","Harlem Meer","New York",NULL,FALSE
